Date,Open,High,Low,Close,Volume,FGI,RSI_14,ATR_14,MA_14,cluster_0,cluster_1,cluster_2,cluster_3
2024-11-01,70216.8984375,71559.015625,68779.703125,69482.46875,49989795365,75.0,53.36009212236321,2123.72265625,68781.34263392857,False,0,False,True
2024-11-02,69486.0234375,69867.3515625,69033.71875,69289.2734375,18184612091,72.0,52.90173252004472,2137.313058035714,68847.52399553571,False,0,False,True
2024-11-03,69296.3828125,69361.65625,67482.5234375,68741.1171875,34868307655,74.0,49.17922901909563,2182.016183035714,68828.91071428571,False,0,False,True
2024-11-04,68742.1328125,69433.1796875,66803.6484375,67811.5078125,41184819348,70.0,51.46226055573524,2181.776785714286,68860.60044642857,False,0,False,True
2024-11-05,67811.171875,70522.7890625,67458.8671875,69359.5625,46046889204,70.0,55.97826950784297,2313.4704241071427,69003.32589285714,False,0,False,True
2024-11-06,69358.5,76460.15625,69322.03125,75639.078125,118592653963,70.0,70.8658040696853,2665.143136160714,69660.96037946429,False,0,False,True
2024-11-07,75637.0859375,76943.1171875,74480.421875,75904.859375,63467654989,77.0,68.79650499738497,2671.9952566964284,70214.08928571429,False,0,False,True
2024-11-08,75902.8359375,77252.75,75648.7421875,76545.4765625,55176858003,75.0,75.10787183099262,2557.9698660714284,70921.45089285714,False,0,False,True
2024-11-09,76556.1875,76932.765625,75773.7890625,76778.8671875,29009480361,75.0,74.93131895533,2572.3733258928573,71618.89174107143,False,0,False,True
2024-11-10,76775.546875,81474.421875,76565.4296875,80474.1875,82570594495,78.0,78.04849418993406,2824.866629464286,72514.95535714286,False,0,False,True
2024-11-11,80471.4140625,89604.5,80283.25,88701.484375,117966845037,76.0,82.84273503760072,3299.4464285714284,73857.36439732143,False,0,False,True
2024-11-12,88705.5625,89956.8828125,85155.109375,87955.8125,133673285375,80.0,78.69755332483939,3367.6233258928573,74945.6015625,False,0,False,True
2024-11-13,87929.96875,93434.3515625,86256.9296875,90584.1640625,123559027869,84.0,81.68346276367701,3773.61328125,76248.7890625,False,0,False,True
2024-11-14,90574.8828125,91765.21875,86682.8125,87250.4296875,87616705248,88.0,78.39073210351283,3917.227120535714,77465.59207589286,False,0,False,True
2024-11-15,87284.1796875,91868.7421875,87124.8984375,91066.0078125,78243109518,80.0,82.61903137040895,4057.55078125,79007.2734375,False,0,False,True
2024-11-16,91064.3671875,91763.9453125,90094.2265625,90558.4765625,44333192814,86.0,81.84145017265408,4117.271205357143,80526.50223214286,False,0,False,True
2024-11-17,90558.4609375,91433.0390625,88741.6640625,89845.8515625,46350159305,90.0,81.44040349398078,4175.288504464285,82033.98325892857,False,0,False,True
2024-11-18,89843.71875,92596.7890625,89393.59375,90542.640625,75535775084,83.0,84.09984546230399,4216.264508928572,83657.63560267857,False,0,False,True
2024-11-19,90536.8125,94002.8671875,90426.984375,92343.7890625,74521048295,90.0,84.21967357803078,4252.833147321428,85299.36607142857,False,0,False,True
2024-11-20,92341.890625,94902.0234375,91619.5,94339.4921875,71730956426,83.0,81.91247142593167,3977.433035714286,86635.10993303571,False,0,False,True
2024-11-21,94334.640625,99014.21875,94132.6015625,98504.7265625,106024505582,82.0,84.03697777911651,4150.213169642857,88249.38616071429,False,0,False,True
2024-11-22,98496.4296875,99655.5,97222.6640625,98997.6640625,78473580551,94.0,83.96565189355188,4209.415178571428,89853.11383928571,False,0,False,True
2024-11-23,99006.7421875,99014.6796875,97232.890625,97777.28125,44414644677,93.0,80.84527013798564,4253.901785714285,91353.00055803571,False,0,False,True
2024-11-24,97778.09375,98647.1796875,95788.078125,98013.8203125,51712020623,80.0,78.67872164252069,4107.481026785715,92605.83147321429,False,0,False,True
2024-11-25,98033.4453125,98935.03125,92642.9140625,93102.296875,80909462490,82.0,58.07081289257714,3891.1143973214284,92920.17522321429,False,0,False,True
2024-11-26,93087.28125,94991.75,90770.8125,91985.3203125,91656519855,79.0,57.29057325571829,3849.6261160714284,93207.99720982143,False,0,False,True
2024-11-27,91978.140625,97361.1796875,91778.6640625,95962.53125,71133452438,75.0,59.27819337288652,3735.7042410714284,93592.16629464286,False,0,False,True
2024-11-28,95954.9453125,96650.203125,94677.3515625,95652.46875,52260008261,77.0,66.18251286296865,3513.593191964286,94192.31194196429,False,0,False,True
2024-11-29,95653.953125,98693.171875,95407.8828125,97461.5234375,54968682476,78.0,63.34973431839263,3409.410714285714,94649.13448660714,False,0,False,True
2024-11-30,97468.8125,97499.34375,96144.21875,96449.0546875,31634227866,84.0,62.04190873118796,3386.9397321428573,95069.89006696429,False,0,False,True
2024-12-01,96461.3359375,97888.125,95770.1875,97279.7890625,36590695296,81.0,65.12391340144052,3345.979910714286,95600.88560267857,False,0,False,True
2024-12-02,97276.0078125,98152.6015625,94482.8671875,95865.3046875,72680784305,80.0,60.52140244390215,3379.304129464286,95981.07589285714,False,0,False,True
2024-12-03,95854.59375,96297.203125,93629.5625,96002.1640625,67067810961,76.0,57.74089799124663,3314.4296875,96242.38839285714,False,0,False,True
2024-12-04,95988.53125,99207.328125,94660.5234375,98768.53125,77199817112,78.0,59.0755887909834,3404.7354910714284,96558.74832589286,False,0,False,True
2024-12-05,98741.5390625,103900.46875,91998.78125,96593.5703125,149218945580,84.0,45.73603685762015,3906.1690848214284,96422.23716517857,False,0,False,True
2024-12-06,97074.2265625,102039.8828125,96514.875,99920.7109375,94534772658,72.0,51.82819458241653,4127.038504464285,96488.16908482143,False,0,False,True
2024-12-07,99916.7109375,100563.3828125,99030.8828125,99923.3359375,44177510897,75.0,54.465921650018196,4109.232142857143,96641.45870535714,False,0,False,True
2024-12-08,99921.9140625,101399.9921875,98771.515625,101236.015625,44125751925,79.0,56.41791072646203,4092.7589285714284,96871.61551339286,False,0,False,True
2024-12-09,101237.0625,101272.5078125,94355.9140625,97432.71875,110676473908,78.0,59.02362153450437,4137.364397321428,97180.93136160714,False,0,False,True
2024-12-10,97441.234375,98270.15625,94321.2578125,96675.4296875,104823780634,78.0,59.92185924748208,4117.933035714285,97515.93917410714,False,0,False,True
2024-12-11,96656.0625,101913.359375,95747.2265625,101173.03125,85391409936,74.0,60.78527258143807,4159.619977678572,97888.11774553571,False,0,False,True
2024-12-12,101167.8046875,102524.9140625,99339.953125,100043.0,72073983533,83.0,58.78964338935886,4246.19921875,98201.72712053571,False,0,False,True
